Latitude,Longitude
12.920882,77.562305
12.970079,77.556174
12.949924,77.587535
12.925127,77.552554
12.969642,77.599689
12.966986,77.549712
12.969251,77.567107
12.977129,77.608559
12.970573,77.563617
12.932459,77.568967
13.021041,77.5599
12.945619,77.595361
12.959969,77.564165
12.984859,77.576177
12.999208,77.562293
12.98889,77.579253
12.983542,77.564819
12.992747,77.582835
12.995667,77.581644
12.96627,77.56843
12.919517,77.579622
12.975635,77.581515
12.944017,77.570072
13.00144,77.601132
12.982105,77.591981
12.954054,77.585051
12.988078,77.589774
12.988967,77.583954
12.955322,77.554372
12.956073,77.589401
12.965315,77.572996
12.971011,77.595276
12.942262,77.527213
12.968112,77.580543
12.929333,77.542629
12.933612,77.566166
12.957793,77.593741
12.930869,77.599768
12.932263,77.562652
12.94448,77.572093
12.967908,77.56192
12.978029,77.569489
12.940674,77.587647
12.94958,77.602617
13.011439,77.587042
12.987329,77.648636
12.977358,77.628768
12.953757,77.597198
12.957935,77.572618
12.988974,77.608384
13.009384,77.553303
12.985092,77.569071
12.989363,77.625078
12.965618,77.557112
12.96787,77.647057
12.942247,77.573215
12.959103,77.630563
12.968487,77.627658
12.958154,77.612845
12.989539,77.57453
12.997371,77.579428
12.948716,77.603624
12.966898,77.640252
12.949522,77.595887
12.94435,77.537443
12.945557,77.601133
12.99638,77.623135
12.951152,77.576364
13.003533,77.654611
12.98308,77.592971
12.934174,77.581939
12.970971,77.625605
12.965148,77.607663
12.921052,77.587
13.001944,77.592814
12.978575,77.568387
13.025945,77.61106
13.009053,77.631253
12.988971,77.639899
12.931442,77.611077
12.982691,77.574679
12.970244,77.576958
12.986563,77.572397
12.977983,77.65336
12.964401,77.563909
12.974404,77.586689
12.980568,77.635096
12.982695,77.591933
12.983103,77.570074
13.014377,77.547069
12.93321,77.575692
12.927974,77.567566
12.969181,77.549028
12.990951,77.587769
12.997432,77.651888
12.993247,77.589789
12.98692,77.579259
12.97189,77.639839
12.945104,77.567644
12.965041,77.582169
12.973933,77.57558
12.973991,77.603232
12.921424,77.546585
12.957484,77.600226
12.957244,77.577461
12.965619,77.551374
12.98177,77.656722
12.980163,77.592327
12.981864,77.627808
12.983103,77.566281
12.934808,77.596257
12.982004,77.64139
12.945154,77.564471
12.970761,77.557297
12.918441,77.583321
12.982603,77.557688
12.993137,77.641696
12.981414,77.569643
12.964907,77.548837
12.94197,77.562546
12.996695,77.547985
12.981572,77.642339
13.008601,77.632463
12.997164,77.646626
12.912017,77.593774
12.943656,77.633487
12.945006,77.573222
12.973288,77.640551
12.968289,77.617439
12.980328,77.58274
12.981132,77.559523
13.001087,77.572682
12.966582,77.647961
12.95237,77.567212
12.960241,77.556201
12.922804,77.559959
12.963117,77.552759
12.981386,77.578683
12.979272,77.643259
12.924304,77.59111
12.910737,77.595503
12.955605,77.570833
12.923489,77.547086
12.979474,77.549617
12.927055,77.584347
12.969717,77.651223
12.98639,77.635029
12.982135,77.613068
12.968495,77.594295
12.966407,77.639034
12.991759,77.570592
12.9414,77.64817
12.988551,77.629932
13.022974,77.597429
12.981205,77.568534
12.996613,77.565007
12.973022,77.55847
12.932152,77.587501
12.983193,77.563261
12.928244,77.549286
12.979392,77.545827
12.997998,77.565819
12.938047,77.581565
13.033759,77.563472
12.977493,77.540003
12.979893,77.649908
12.942551,77.581696
12.918298,77.570468
12.943502,77.555438
12.94399,77.558228
13.013216,77.564856
12.995198,77.586207
12.982545,77.610432
12.984609,77.630618
12.971431,77.565738
12.978557,77.553874
12.950357,77.590246
12.913408,77.590633
12.951189,77.554922
13.007255,77.57913
13.014592,77.58052
13.003473,77.589198
12.928482,77.549804
12.977971,77.63783
12.931067,77.537214
12.959449,77.637813
12.975207,77.569452
12.977408,77.604815
12.968397,77.588799
13.009234,77.57431
12.919353,77.540367
12.991418,77.637513
12.977335,77.621146
12.959431,77.550463
12.941535,77.578852
13.004778,77.586042
12.995138,77.644099
12.957176,77.654986
12.988073,77.557305
12.985601,77.536232
12.946702,77.620048
12.97955,77.624019
12.932143,77.570674
12.963974,77.571271
12.934826,77.614517
12.960149,77.588943
12.968596,77.565921
12.945935,77.591149
12.994338,77.565904
12.980087,77.618322
12.979687,77.593072
12.931156,77.573108
12.946342,77.58155
12.998895,77.641594
12.968175,77.65322
13.01447,77.559733
12.951731,77.565766
12.996115,77.631202
12.924608,77.558443
13.017284,77.58651
12.992042,77.653527
12.980206,77.580985
13.009128,77.614192
12.984726,77.562025
12.976032,77.642637
12.962786,77.575803
12.98406,77.556331
12.974771,77.568592
12.978164,77.582777
12.97449,77.645671
12.975129,77.594864
12.945019,77.567042
12.985212,77.567607
12.97377,77.564099
12.966537,77.638683
12.951152,77.576364
12.962972,77.66003
12.956037,77.560646
12.979891,77.552599
