Latitude,Longitude
12.975505,77.638514
13.017642,77.572477
12.989058,77.565904
12.929352,77.561849
12.959011,77.651784
12.980878,77.576346
12.976511,77.568498
12.935359,77.604312
12.980184,77.568478
12.970159,77.649945
12.944689,77.632338
12.99301,77.642828
12.921089,77.564601
12.996421,77.657133
12.989624,77.582599
12.976255,77.566743
12.995517,77.589815
12.971845,77.571409
12.978499,77.642866
12.980163,77.66027
12.98064,77.620808
12.957394,77.634784
12.918345,77.583908
12.960145,77.573807
12.993555,77.576098
12.949879,77.562255
12.996887,77.65125
12.963804,77.611138
12.946005,77.562828
12.952316,77.571374
12.965984,77.568982
12.983354,77.630643
12.974855,77.641855
12.965329,77.622782
12.944867,77.559329
12.913857,77.58145
13.011951,77.57155
13.001442,77.540764
12.93049,77.552416
12.986738,77.573844
12.961892,77.555687
12.929026,77.584187
12.938315,77.591158
13.001155,77.571637
12.925322,77.59563
12.993589,77.643623
13.005141,77.556548
12.976832,77.637546
12.921762,77.577017
12.961809,77.608731
12.974647,77.567831
12.975658,77.643098
12.964591,77.585854
12.963285,77.55463
12.978913,77.586428
12.924383,77.582545
12.990506,77.576434
13.017157,77.636728
12.993224,77.624837
12.983176,77.545028
12.998369,77.569863
12.978283,77.638557
12.980307,77.648755
12.952593,77.634645
12.915096,77.559821
12.935124,77.59469
12.996131,77.655556
12.985988,77.590158
12.953337,77.564098
12.964562,77.559251
12.979973,77.589983
12.959815,77.572257
12.922098,77.575765
12.952632,77.647082
12.958399,77.591087
12.962076,77.564459
12.954477,77.578338
12.942642,77.573262
12.980522,77.568792
12.955822,77.580903
12.975467,77.555967
13.004542,77.576127
13.004351,77.630699
12.988918,77.570341
12.942453,77.567119
12.968277,77.589271
12.99068,77.56047
12.987695,77.591132
12.953409,77.668454
13.009388,77.570013
12.931659,77.57262
12.978935,77.650931
12.99719,77.575199
12.932878,77.557279
12.98877,77.6525
12.944806,77.585541
12.970197,77.662134
12.985535,77.595481
12.950231,77.565807
13.004161,77.562167
12.939257,77.593005
12.964718,77.551967
12.966803,77.623721
12.99711,77.607801
13.021275,77.576977
12.927863,77.602038
12.98495,77.556556
12.996632,77.665447
12.970812,77.589223
12.986294,77.581631
12.9783,77.631323
12.987584,77.622646
12.979157,77.607317
12.973868,77.58829
12.992505,77.628105
12.996143,77.577507
12.93965,77.586964
12.963195,77.558506
12.974721,77.652366
13.004134,77.557526
12.952254,77.559729
12.914513,77.5763
12.967251,77.566936
12.966338,77.602055
12.969821,77.5882
12.973217,77.578896
12.994409,77.621833
13.003758,77.563356
12.956212,77.558133
12.962377,77.64623
12.949503,77.580457
